# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
0=-0.00363108,0.00747765,1.841e-05
1=0.177935,0.975177,-2.53889e-05
2=0.373832,-5.21372,0.0132597
0=-0.003631,0.00747658,1.84127e-05
1=0.170086,0.976561,-2.56117e-05
2=0.377224,-5.21331,0.0131821
0=-0.00363093,0.00747552,1.84154e-05
1=0.162225,0.977882,-2.58284e-05
2=0.380615,-5.2129,0.0131045
0=-0.00363085,0.00747445,1.8418e-05
1=0.154354,0.979138,-2.60389e-05
2=0.384006,-5.21248,0.0130269
0=-0.00363077,0.00747338,1.84207e-05
1=0.146472,0.980329,-2.62434e-05
2=0.387397,-5.21206,0.0129493
0=-0.00363069,0.00747232,1.84233e-05
1=0.138581,0.981456,-2.64417e-05
2=0.390788,-5.21164,0.0128717
0=-0.00363061,0.00747125,1.8426e-05
1=0.130681,0.982519,-2.6634e-05
2=0.394179,-5.21122,0.0127941
0=-0.00363053,0.00747018,1.84286e-05
1=0.122772,0.983517,-2.68202e-05
2=0.397569,-5.2108,0.0127164
0=-0.00363044,0.00746912,1.84312e-05
1=0.114855,0.984451,-2.70003e-05
2=0.400959,-5.21037,0.0126388
0=-0.00363036,0.00746805,1.84337e-05
1=0.10693,0.985319,-2.71744e-05
2=0.404349,-5.20994,0.0125612
0=-0.00363028,0.00746699,1.84363e-05
1=0.0989983,0.986123,-2.73424e-05
2=0.407739,-5.20951,0.0124835
0=-0.00363019,0.00746592,1.84389e-05
1=0.09106,0.986862,-2.75044e-05
2=0.411129,-5.20907,0.0124059
0=-0.00363011,0.00746485,1.84414e-05
1=0.0831157,0.987536,-2.76603e-05
2=0.414519,-5.20864,0.0123282
0=-0.00363002,0.00746379,1.84439e-05
1=0.0751658,0.988145,-2.78102e-05
2=0.417908,-5.2082,0.0122506
0=-0.00362994,0.00746272,1.84464e-05
1=0.0672109,0.988689,-2.79541e-05
2=0.421297,-5.20776,0.0121729
0=-0.00362985,0.00746165,1.84489e-05
1=0.0592516,0.989168,-2.8092e-05
2=0.424686,-5.20731,0.0120953
0=-0.00362976,0.00746059,1.84514e-05
1=0.0512882,0.989582,-2.82239e-05
2=0.428075,-5.20687,0.0120176
0=-0.00362968,0.00745952,1.84538e-05
1=0.0433213,0.98993,-2.83498e-05
2=0.431464,-5.20642,0.0119399
0=-0.00362959,0.00745845,1.84563e-05
1=0.0353515,0.990213,-2.84697e-05
2=0.434852,-5.20597,0.0118622
0=-0.0036295,0.00745739,1.84587e-05
1=0.0273793,0.990432,-2.85837e-05
2=0.43824,-5.20552,0.0117845
0=-0.00362941,0.00745632,1.84611e-05
1=0.0194052,0.990584,-2.86917e-05
2=0.441628,-5.20507,0.0117068
0=-0.00362931,0.00745525,1.84635e-05
1=0.0114297,0.990672,-2.87938e-05
2=0.445016,-5.20461,0.0116292
0=-0.00362922,0.00745419,1.84659e-05
1=0.00345328,0.990694,-2.88899e-05
2=0.448404,-5.20415,0.0115514
0=-0.00362913,0.00745312,1.84682e-05
1=-0.00452346,0.990651,-2.89802e-05
2=0.451792,-5.20369,0.0114737
0=-0.00362904,0.00745205,1.84706e-05
1=-0.0125,0.990543,-2.90645e-05
2=0.455179,-5.20323,0.011396
0=-0.00362894,0.00745099,1.84729e-05
1=-0.0204759,0.990369,-2.91429e-05
2=0.458566,-5.20276,0.0113183
0=-0.00362885,0.00744992,1.84752e-05
1=-0.0284506,0.99013,-2.92155e-05
2=0.461953,-5.20229,0.0112406
0=-0.00362875,0.00744885,1.84775e-05
1=-0.0364235,0.989826,-2.92822e-05
2=0.46534,-5.20182,0.0111629
0=-0.00362866,0.00744779,1.84798e-05
1=-0.0443942,0.989456,-2.93431e-05
2=0.468726,-5.20135,0.0110851
0=-0.00362856,0.00744672,1.84821e-05
1=-0.0523622,0.989021,-2.93981e-05
2=0.472112,-5.20088,0.0110074
0=-0.00362846,0.00744565,1.84843e-05
1=-0.0603268,0.988521,-2.94473e-05
2=0.475499,-5.2004,0.0109297
0=-0.00362837,0.00744459,1.84865e-05
1=-0.0682876,0.987955,-2.94907e-05
2=0.478884,-5.19992,0.0108519
0=-0.00362827,0.00744352,1.84888e-05
1=-0.0762441,0.987325,-2.95283e-05
2=0.48227,-5.19944,0.0107742
0=-0.00362817,0.00744245,1.8491e-05
1=-0.0841957,0.986629,-2.95601e-05
2=0.485656,-5.19896,0.0106964
0=-0.00362807,0.00744139,1.84931e-05
1=-0.0921419,0.985867,-2.95862e-05
2=0.489041,-5.19847,0.0106186
0=-0.00362797,0.00744032,1.84953e-05
1=-0.100082,0.985041,-2.96066e-05
2=0.492426,-5.19798,0.0105409
0=-0.00362786,0.00743925,1.84975e-05
1=-0.108016,0.984149,-2.96212e-05
2=0.495811,-5.19749,0.0104631
0=-0.00362776,0.00743819,1.84996e-05
1=-0.115943,0.983193,-2.96301e-05
2=0.499195,-5.197,0.0103853
0=-0.00362766,0.00743712,1.85017e-05
1=-0.123863,0.982171,-2.96333e-05
2=0.50258,-5.19651,0.0103076
0=-0.00362755,0.00743605,1.85039e-05
1=-0.131774,0.981084,-2.96309e-05
2=0.505964,-5.19601,0.0102298
0=-0.00362745,0.00743499,1.85059e-05
1=-0.139677,0.979933,-2.96228e-05
2=0.509348,-5.19551,0.010152
0=-0.00362735,0.00743392,1.8508e-05
1=-0.147571,0.978716,-2.9609e-05
2=0.512732,-5.19501,0.0100742
0=-0.00362724,0.00743285,1.85101e-05
1=-0.155456,0.977435,-2.95896e-05
2=0.516115,-5.1945,0.00999641
0=-0.00362713,0.00743179,1.85121e-05
1=-0.16333,0.976089,-2.95647e-05
2=0.519498,-5.194,0.00991861
0=-0.00362703,0.00743072,1.85142e-05
1=-0.171194,0.974679,-2.95341e-05
2=0.522882,-5.19349,0.00984081
0=-0.00362692,0.00742965,1.85162e-05
1=-0.179047,0.973203,-2.9498e-05
2=0.526264,-5.19298,0.009763
0=-0.00362681,0.00742859,1.85182e-05
1=-0.186888,0.971664,-2.94564e-05
2=0.529647,-5.19247,0.00968519
0=-0.0036267,0.00742752,1.85202e-05
1=-0.194717,0.970059,-2.94092e-05
2=0.533029,-5.19195,0.00960737
0=-0.00362659,0.00742645,1.85221e-05
1=-0.202533,0.968391,-2.93565e-05
2=0.536412,-5.19143,0.00952955
0=-0.00362648,0.00742539,1.85241e-05
1=-0.210336,0.966658,-2.92984e-05
2=0.539793,-5.19092,0.00945173
0=-0.00362637,0.00742432,1.8526e-05
1=-0.218126,0.964861,-2.92348e-05
2=0.543175,-5.19039,0.0093739
0=-0.00362625,0.00742325,1.85279e-05
1=-0.225901,0.963001,-2.91657e-05
2=0.546557,-5.18987,0.00929607
0=-0.00362614,0.00742219,1.85298e-05
1=-0.233662,0.961076,-2.90913e-05
2=0.549938,-5.18934,0.00921823
0=-0.00362603,0.00742112,1.85317e-05
1=-0.241407,0.959087,-2.90114e-05
2=0.553319,-5.18882,0.00914039
0=-0.00362591,0.00742005,1.85336e-05
1=-0.249137,0.957035,-2.89262e-05
2=0.556699,-5.18828,0.00906254
0=-0.0036258,0.00741899,1.85355e-05
1=-0.25685,0.954919,-2.88356e-05
2=0.56008,-5.18775,0.0089847
0=-0.00362568,0.00741792,1.85373e-05
1=-0.264547,0.952739,-2.87397e-05
2=0.56346,-5.18722,0.00890684
0=-0.00362557,0.00741685,1.85391e-05
1=-0.272226,0.950497,-2.86385e-05
2=0.56684,-5.18668,0.00882899
0=-0.00362545,0.00741579,1.85409e-05
1=-0.279888,0.948191,-2.8532e-05
2=0.57022,-5.18614,0.00875113
0=-0.00362533,0.00741472,1.85427e-05
1=-0.287531,0.945822,-2.84202e-05
2=0.573599,-5.1856,0.00867326
0=-0.00362521,0.00741365,1.85445e-05
1=-0.295155,0.94339,-2.83033e-05
2=0.576979,-5.18505,0.0085954
0=-0.00362509,0.00741259,1.85463e-05
1=-0.30276,0.940895,-2.81811e-05
2=0.580358,-5.18451,0.00851752
