# Next line: [dim], [# integration points], [years], [dt], [system radius], [planet count]
3,1000,5,0.005,10, 2
# Next lines: [planet ID], [planet name]
0,Sun
1,Earth
# Next lines: [planet ID] = [x], [y], [x]
0=4.62624e-07,0,0.00518505
1=1,0.0315,0.015
0=2.68497e-05,1.45489e-08,0.0103698
1=1.00008,0.063,0.03
0=7.91584e-05,7.26012e-08,0.0155541
1=1.00023,0.0945,0.045
0=0.000157384,2.02681e-07,0.0207376
1=1.00046,0.126,0.06
0=0.000261523,4.32602e-07,0.0259202
1=1.00077,0.1575,0.075
0=0.000391568,7.89204e-07,0.0311017
1=1.00115,0.189,0.09
0=0.000547512,1.29812e-06,0.036282
1=1.00161,0.2205,0.105
0=0.000729349,1.98357e-06,0.041461
1=1.00214,0.252,0.12
0=0.000937071,2.86819e-06,0.0466387
1=1.00276,0.2835,0.135
0=0.00117067,3.97291e-06,0.0518152
1=1.00345,0.315,0.15
0=0.00143014,5.31683e-06,0.0569904
1=1.00421,0.3465,0.165
0=0.00171548,6.9172e-06,0.0621647
1=1.00505,0.378,0.18
0=0.00202667,8.78936e-06,0.0673381
1=1.00597,0.4095,0.195
0=0.00236372,1.09468e-05,0.0725109
1=1.00696,0.441,0.21
0=0.00272662,1.3401e-05,0.0776834
1=1.00803,0.4725,0.225
0=0.00311536,1.6162e-05,0.082856
1=1.00918,0.504,0.24
0=0.00352996,1.92377e-05,0.088029
1=1.01039,0.5355,0.255
0=0.00397041,2.26346e-05,0.0932029
1=1.01169,0.567,0.27
0=0.00443672,2.63577e-05,0.0983781
1=1.01306,0.5985,0.285
0=0.00492888,3.04104e-05,0.103555
1=1.01451,0.63,0.3
0=0.00544693,3.47951e-05,0.108734
1=1.01603,0.6615,0.315
0=0.00599085,3.95127e-05,0.113916
1=1.01762,0.693,0.33
0=0.00656067,4.45634e-05,0.119101
1=1.01929,0.7245,0.345
0=0.00715641,4.99459e-05,0.124291
1=1.02104,0.756,0.36
0=0.00777809,5.56587e-05,0.129484
1=1.02286,0.7875,0.375
0=0.00842572,6.16991e-05,0.134682
1=1.02475,0.819,0.39
0=0.00909933,6.80639e-05,0.139886
1=1.02672,0.8505,0.405
0=0.00979895,7.47493e-05,0.145096
1=1.02877,0.882,0.42
0=0.0105246,8.17511e-05,0.150313
1=1.03089,0.9135,0.435
0=0.0112763,8.90647e-05,0.155536
1=1.03308,0.945,0.45
0=0.0120542,9.66851e-05,0.160767
1=1.03535,0.9765,0.465
0=0.0128582,0.000104607,0.166007
1=1.03769,1.008,0.48
0=0.0136884,0.000112825,0.171255
1=1.04011,1.0395,0.495
0=0.0145448,0.000121333,0.176512
1=1.0426,1.071,0.51
0=0.0154275,0.000130127,0.181779
1=1.04517,1.1025,0.525
0=0.0163365,0.000139199,0.187057
1=1.04781,1.134,0.54
0=0.0172719,0.000148544,0.192345
1=1.05053,1.1655,0.555
0=0.0182338,0.000158156,0.197645
1=1.05332,1.197,0.57
0=0.0192221,0.000168029,0.202956
1=1.05619,1.2285,0.585
0=0.020237,0.000178158,0.20828
1=1.05913,1.26,0.6
0=0.0212785,0.000188536,0.213616
1=1.06214,1.2915,0.615
0=0.0223467,0.000199157,0.218965
1=1.06523,1.323,0.63
0=0.0234416,0.000210017,0.224329
1=1.0684,1.3545,0.645
0=0.0245633,0.00022111,0.229706
1=1.07164,1.386,0.66
0=0.0257119,0.000232429,0.235098
1=1.07495,1.4175,0.675
0=0.0268875,0.000243969,0.240505
1=1.07834,1.449,0.69
0=0.0280901,0.000255726,0.245928
1=1.0818,1.4805,0.705
0=0.0293198,0.000267694,0.251367
1=1.08534,1.512,0.72
0=0.0305767,0.000279867,0.256822
1=1.08895,1.5435,0.735
0=0.0318609,0.000292242,0.262294
1=1.09264,1.575,0.75
0=0.0331724,0.000304813,0.267783
1=1.0964,1.6065,0.765
0=0.0345114,0.000317575,0.27329
1=1.10024,1.638,0.78
0=0.0358779,0.000330524,0.278815
1=1.10415,1.6695,0.795
0=0.0372721,0.000343655,0.284359
1=1.10814,1.701,0.81
0=0.0386939,0.000356964,0.289922
1=1.1122,1.7325,0.825
0=0.0401436,0.000370447,0.295504
1=1.11633,1.764,0.84
0=0.0416211,0.0003841,0.301106
1=1.12054,1.7955,0.855
0=0.0431267,0.000397918,0.306729
1=1.12483,1.827,0.87
0=0.0446604,0.000411898,0.312372
1=1.12919,1.8585,0.885
0=0.0462223,0.000426035,0.318036
1=1.13362,1.89,0.9
0=0.0478125,0.000440327,0.323722
1=1.13813,1.9215,0.915
0=0.0494312,0.00045477,0.329429
1=1.14272,1.953,0.93
0=0.0510784,0.00046936,0.335159
1=1.14737,1.9845,0.945
0=0.0527542,0.000484093,0.340912
1=1.15211,2.016,0.96
0=0.0544588,0.000498967,0.346687
1=1.15692,2.0475,0.975
0=0.0561923,0.000513978,0.352487
1=1.1618,2.079,0.99
0=0.0579548,0.000529124,0.35831
1=1.16676,2.1105,1.005
0=0.0597463,0.000544401,0.364157
1=1.17179,2.142,1.02
0=0.0615672,0.000559806,0.370029
1=1.1769,2.1735,1.035
0=0.0634173,0.000575337,0.375927
1=1.18208,2.205,1.05
0=0.065297,0.00059099,0.381849
1=1.18734,2.2365,1.065
0=0.0672063,0.000606764,0.387798
1=1.19267,2.268,1.08
0=0.0691453,0.000622655,0.393773
1=1.19808,2.2995,1.095
0=0.0711142,0.000638661,0.399774
1=1.20356,2.331,1.11
0=0.0731131,0.00065478,0.405803
1=1.20912,2.3625,1.125
0=0.0751421,0.000671009,0.411859
1=1.21475,2.394,1.14
0=0.0772015,0.000687346,0.417943
1=1.22045,2.4255,1.155
0=0.0792912,0.000703788,0.424055
1=1.22624,2.457,1.17
0=0.0814115,0.000720334,0.430196
1=1.23209,2.4885,1.185
0=0.0835625,0.000736981,0.436366
1=1.23802,2.52,1.2
0=0.0857443,0.000753728,0.442565
1=1.24403,2.5515,1.215
0=0.0879572,0.000770571,0.448794
1=1.25011,2.583,1.23
0=0.0902012,0.000787511,0.455053
1=1.25627,2.6145,1.245
0=0.0924765,0.000804543,0.461342
1=1.2625,2.646,1.26
0=0.0947832,0.000821667,0.467663
1=1.2688,2.6775,1.275
0=0.0971215,0.000838881,0.474015
1=1.27518,2.709,1.29
0=0.0994916,0.000856183,0.480398
1=1.28164,2.7405,1.305
0=0.101894,0.000873572,0.486814
1=1.28817,2.772,1.32
0=0.104328,0.000891045,0.493262
1=1.29477,2.8035,1.335
0=0.106794,0.000908602,0.499743
1=1.30145,2.835,1.35
0=0.109293,0.000926239,0.506257
1=1.30821,2.8665,1.365
0=0.111824,0.000943957,0.512804
1=1.31504,2.898,1.38
0=0.114388,0.000961754,0.519386
1=1.32194,2.9295,1.395
0=0.116985,0.000979628,0.526002
1=1.32892,2.961,1.41
0=0.119615,0.000997577,0.532653
1=1.33598,2.9925,1.425
0=0.122278,0.0010156,0.539339
1=1.3431,3.024,1.44
0=0.124975,0.0010337,0.54606
1=1.35031,3.0555,1.455
0=0.127705,0.00105187,0.552817
1=1.35759,3.087,1.47
0=0.130469,0.00107011,0.559611
1=1.36494,3.1185,1.485
0=0.133268,0.00108841,0.566441
1=1.37237,3.15,1.5
0=0.1361,0.00110679,0.573308
1=1.37988,3.1815,1.515
0=0.138966,0.00112523,0.580213
1=1.38745,3.213,1.53
0=0.141867,0.00114374,0.587155
1=1.39511,3.2445,1.545
0=0.144803,0.00116232,0.594136
1=1.40284,3.276,1.56
0=0.147774,0.00118095,0.601155
1=1.41064,3.3075,1.575
0=0.15078,0.00119965,0.608213
1=1.41852,3.339,1.59
0=0.153821,0.00121841,0.61531
1=1.42647,3.3705,1.605
0=0.156897,0.00123723,0.622447
1=1.4345,3.402,1.62
0=0.16001,0.00125612,0.629624
1=1.4426,3.4335,1.635
0=0.163158,0.00127505,0.636841
1=1.45078,3.465,1.65
0=0.166342,0.00129405,0.644099
1=1.45904,3.4965,1.665
0=0.169562,0.0013131,0.651398
1=1.46736,3.528,1.68
0=0.172819,0.00133221,0.658739
1=1.47577,3.5595,1.695
0=0.176113,0.00135138,0.666122
1=1.48425,3.591,1.71
0=0.179444,0.00137059,0.673547
1=1.4928,3.6225,1.725
0=0.182811,0.00138986,0.681015
1=1.50143,3.654,1.74
0=0.186217,0.00140919,0.688526
1=1.51013,3.6855,1.755
0=0.189659,0.00142856,0.69608
1=1.51891,3.717,1.77
0=0.19314,0.00144799,0.703679
1=1.52776,3.7485,1.785
0=0.196658,0.00146746,0.711321
1=1.53669,3.78,1.8
0=0.200215,0.00148699,0.719008
1=1.54569,3.8115,1.815
0=0.20381,0.00150656,0.72674
1=1.55477,3.843,1.83
0=0.207443,0.00152618,0.734517
1=1.56392,3.8745,1.845
0=0.211116,0.00154585,0.74234
1=1.57315,3.906,1.86
0=0.214828,0.00156556,0.750209
1=1.58245,3.9375,1.875
0=0.218579,0.00158532,0.758124
1=1.59183,3.969,1.89
0=0.222369,0.00160513,0.766086
1=1.60128,4.0005,1.905
0=0.2262,0.00162498,0.774096
1=1.61081,4.032,1.92
0=0.23007,0.00164487,0.782153
1=1.62041,4.0635,1.935
0=0.233981,0.0016648,0.790258
1=1.63009,4.095,1.95
0=0.237932,0.00168478,0.798411
1=1.63984,4.1265,1.965
0=0.241924,0.0017048,0.806613
1=1.64967,4.158,1.98
0=0.245957,0.00172486,0.814864
1=1.65957,4.1895,1.995
0=0.250032,0.00174497,0.823165
1=1.66955,4.221,2.01
0=0.254148,0.00176511,0.831515
1=1.6796,4.2525,2.025
0=0.258305,0.00178529,0.839916
1=1.68973,4.284,2.04
0=0.262505,0.00180551,0.848367
1=1.69993,4.3155,2.055
0=0.266747,0.00182577,0.856869
1=1.71021,4.347,2.07
0=0.271031,0.00184607,0.865423
1=1.72056,4.3785,2.085
0=0.275358,0.00186641,0.874028
1=1.73099,4.41,2.1
0=0.279728,0.00188678,0.882686
1=1.74149,4.4415,2.115
0=0.284142,0.00190719,0.891396
1=1.75207,4.473,2.13
0=0.288599,0.00192764,0.900158
1=1.76272,4.5045,2.145
0=0.293099,0.00194812,0.908974
1=1.77345,4.536,2.16
0=0.297644,0.00196864,0.917844
1=1.78425,4.5675,2.175
0=0.302234,0.00198919,0.926767
1=1.79512,4.599,2.19
0=0.306867,0.00200977,0.935745
1=1.80608,4.6305,2.205
0=0.311546,0.00203039,0.944778
1=1.8171,4.662,2.22
0=0.31627,0.00205105,0.953865
1=1.8282,4.6935,2.235
0=0.321039,0.00207173,0.963008
1=1.83938,4.725,2.25
0=0.325854,0.00209245,0.972207
1=1.85063,4.7565,2.265
0=0.330715,0.00211321,0.981463
1=1.86196,4.788,2.28
0=0.335623,0.00213399,0.990774
1=1.87336,4.8195,2.295
0=0.340577,0.0021548,1.00014
1=1.88484,4.851,2.31
0=0.345577,0.00217565,1.00957
1=1.89639,4.8825,2.325
0=0.350625,0.00219653,1.01905
1=1.90802,4.914,2.34
0=0.355721,0.00221743,1.0286
1=1.91972,4.9455,2.355
0=0.360864,0.00223837,1.0382
1=1.93149,4.977,2.37
0=0.366054,0.00225934,1.04786
1=1.94335,5.0085,2.385
0=0.371294,0.00228034,1.05757
1=1.95527,5.04,2.4
0=0.376582,0.00230136,1.06735
1=1.96727,5.0715,2.415
0=0.381918,0.00232242,1.07719
1=1.97935,5.103,2.43
0=0.387304,0.0023435,1.08709
1=1.9915,5.1345,2.445
0=0.39274,0.00236461,1.09705
1=2.00373,5.166,2.46
0=0.398225,0.00238575,1.10707
1=2.01603,5.1975,2.475
0=0.40376,0.00240691,1.11715
1=2.02841,5.229,2.49
0=0.409346,0.00242811,1.12729
1=2.04086,5.2605,2.505
0=0.414983,0.00244933,1.1375
1=2.05338,5.292,2.52
0=0.42067,0.00247057,1.14777
1=2.06599,5.3235,2.535
0=0.426409,0.00249184,1.1581
1=2.07866,5.355,2.55
0=0.432199,0.00251314,1.16849
1=2.09141,5.3865,2.565
0=0.438042,0.00253447,1.17895
1=2.10424,5.418,2.58
0=0.443937,0.00255582,1.18948
1=2.11714,5.4495,2.595
0=0.449884,0.00257719,1.20006
1=2.13012,5.481,2.61
0=0.455884,0.00259859,1.21072
1=2.14317,5.5125,2.625
0=0.461938,0.00262001,1.22143
1=2.1563,5.544,2.64
0=0.468045,0.00264146,1.23222
1=2.1695,5.5755,2.655
0=0.474206,0.00266293,1.24306
1=2.18277,5.607,2.67
0=0.480422,0.00268443,1.25398
1=2.19612,5.6385,2.685
0=0.486691,0.00270595,1.26496
1=2.20955,5.67,2.7
0=0.493016,0.00272749,1.27601
1=2.22305,5.7015,2.715
0=0.499396,0.00274906,1.28713
1=2.23663,5.733,2.73
0=0.505832,0.00277064,1.29831
1=2.25028,5.7645,2.745
0=0.512324,0.00279226,1.30957
1=2.264,5.796,2.76
0=0.518871,0.00281389,1.32089
1=2.27781,5.8275,2.775
0=0.525476,0.00283555,1.33228
1=2.29168,5.859,2.79
0=0.532137,0.00285722,1.34374
1=2.30563,5.8905,2.805
0=0.538856,0.00287892,1.35527
1=2.31966,5.922,2.82
0=0.545632,0.00290064,1.36687
1=2.33376,5.9535,2.835
0=0.552467,0.00292239,1.37854
1=2.34794,5.985,2.85
0=0.559359,0.00294415,1.39028
1=2.36219,6.0165,2.865
0=0.566311,0.00296593,1.40209
1=2.37651,6.048,2.88
0=0.573321,0.00298774,1.41397
1=2.39091,6.0795,2.895
0=0.580391,0.00300956,1.42593
1=2.40539,6.111,2.91
0=0.587521,0.00303141,1.43796
1=2.41994,6.1425,2.925
0=0.59471,0.00305327,1.45006
1=2.43457,6.174,2.94
0=0.601961,0.00307516,1.46223
1=2.44927,6.2055,2.955
0=0.609272,0.00309706,1.47448
1=2.46404,6.237,2.97
0=0.616644,0.00311899,1.4868
1=2.47889,6.2685,2.985
0=0.624078,0.00314093,1.4992
1=2.49382,6.3,3
0=0.631574,0.0031629,1.51167
1=2.50882,6.3315,3.015
0=0.639133,0.00318488,1.52421
1=2.5239,6.363,3.03
0=0.646754,0.00320688,1.53683
1=2.53905,6.3945,3.045
0=0.654438,0.0032289,1.54953
1=2.55427,6.426,3.06
0=0.662185,0.00325094,1.5623
1=2.56958,6.4575,3.075
0=0.669997,0.00327299,1.57515
1=2.58495,6.489,3.09
0=0.677873,0.00329507,1.58808
1=2.6004,6.5205,3.105
0=0.685813,0.00331716,1.60108
1=2.61593,6.552,3.12
0=0.693818,0.00333927,1.61416
1=2.63153,6.5835,3.135
0=0.701889,0.0033614,1.62732
1=2.6472,6.615,3.15
0=0.710026,0.00338354,1.64056
1=2.66296,6.6465,3.165
0=0.718229,0.00340571,1.65387
1=2.67878,6.678,3.18
0=0.726498,0.00342789,1.66727
1=2.69468,6.7095,3.195
0=0.734834,0.00345008,1.68074
1=2.71066,6.741,3.21
0=0.743238,0.0034723,1.69429
1=2.72671,6.7725,3.225
0=0.751709,0.00349453,1.70793
1=2.74283,6.804,3.24
0=0.760249,0.00351678,1.72164
1=2.75903,6.8355,3.255
0=0.768857,0.00353904,1.73544
1=2.77531,6.867,3.27
0=0.777535,0.00356132,1.74932
1=2.79166,6.8985,3.285
0=0.786281,0.00358362,1.76328
1=2.80809,6.93,3.3
0=0.795098,0.00360593,1.77732
1=2.82459,6.9615,3.315
0=0.803984,0.00362826,1.79144
1=2.84116,6.993,3.33
0=0.812941,0.0036506,1.80565
1=2.85781,7.0245,3.345
0=0.82197,0.00367296,1.81994
1=2.87454,7.056,3.36
0=0.831069,0.00369534,1.83431
1=2.89134,7.0875,3.375
0=0.840241,0.00371773,1.84877
1=2.90822,7.119,3.39
0=0.849485,0.00374013,1.86331
1=2.92517,7.1505,3.405
0=0.858801,0.00376255,1.87794
1=2.94219,7.182,3.42
0=0.868191,0.00378499,1.89265
1=2.95929,7.2135,3.435
0=0.877654,0.00380744,1.90745
1=2.97647,7.245,3.45
0=0.887191,0.0038299,1.92233
1=2.99372,7.2765,3.465
0=0.896803,0.00385239,1.9373
1=3.01104,7.308,3.48
0=0.90649,0.00387488,1.95236
1=3.02845,7.3395,3.495
0=0.916251,0.00389739,1.9675
1=3.04592,7.371,3.51
0=0.926089,0.00391991,1.98273
1=3.06347,7.4025,3.525
0=0.936003,0.00394245,1.99805
1=3.0811,7.434,3.54
0=0.945993,0.003965,2.01345
1=3.0988,7.4655,3.555
0=0.95606,0.00398757,2.02895
1=3.11657,7.497,3.57
0=0.966205,0.00401015,2.04453
1=3.13442,7.5285,3.585
0=0.976427,0.00403274,2.06021
1=3.15235,7.56,3.6
0=0.986729,0.00405535,2.07597
1=3.17035,7.5915,3.615
0=0.997108,0.00407797,2.09182
1=3.18843,7.623,3.63
0=1.00757,0.0041006,2.10776
1=3.20658,7.6545,3.645
0=1.01811,0.00412325,2.1238
1=3.2248,7.686,3.66
0=1.02873,0.00414591,2.13992
1=3.2431,7.7175,3.675
0=1.03942,0.00416859,2.15614
1=3.26148,7.749,3.69
0=1.05021,0.00419127,2.17245
