# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
0=-0.00363108,0.00747765,1.841e-05
1=0.177935,0.975177,-2.53889e-05
2=0.373832,-5.21372,0.0132597
0=-0.00363108,0.00747765,1.841e-05
1=0.170085,0.976562,-2.56134e-05
2=0.377224,-5.21331,0.0131821
0=-0.00363108,0.00747765,1.841e-05
1=0.162225,0.977885,-2.58349e-05
2=0.380615,-5.2129,0.0131045
0=-0.00363108,0.00747765,1.841e-05
1=0.154353,0.979144,-2.60536e-05
2=0.384006,-5.21248,0.0130269
0=-0.00363108,0.00747765,1.841e-05
1=0.146472,0.980341,-2.62694e-05
2=0.387397,-5.21206,0.0129493
0=-0.00363108,0.00747764,1.841e-05
1=0.13858,0.981475,-2.64824e-05
2=0.390788,-5.21164,0.0128717
0=-0.00363108,0.00747764,1.841e-05
1=0.13068,0.982547,-2.66924e-05
2=0.394179,-5.21122,0.0127941
0=-0.00363108,0.00747764,1.841e-05
1=0.12277,0.983555,-2.68995e-05
2=0.397569,-5.2108,0.0127164
0=-0.00363108,0.00747764,1.841e-05
1=0.114853,0.984499,-2.71036e-05
2=0.400959,-5.21037,0.0126388
0=-0.00363108,0.00747764,1.841e-05
1=0.106928,0.985381,-2.73049e-05
2=0.404349,-5.20994,0.0125612
0=-0.00363108,0.00747764,1.841e-05
1=0.0989955,0.986199,-2.75031e-05
2=0.407739,-5.20951,0.0124835
0=-0.00363108,0.00747764,1.841e-05
1=0.0910565,0.986954,-2.76984e-05
2=0.411129,-5.20907,0.0124059
0=-0.00363108,0.00747764,1.841e-05
1=0.0831115,0.987646,-2.78907e-05
2=0.414519,-5.20864,0.0123282
0=-0.00363108,0.00747764,1.841e-05
1=0.0751608,0.988274,-2.808e-05
2=0.417908,-5.2082,0.0122506
0=-0.00363108,0.00747764,1.841e-05
1=0.067205,0.988838,-2.82663e-05
2=0.421297,-5.20776,0.0121729
0=-0.00363108,0.00747763,1.841e-05
1=0.0592447,0.989339,-2.84495e-05
2=0.424686,-5.20731,0.0120953
0=-0.00363108,0.00747763,1.841e-05
1=0.0512803,0.989777,-2.86297e-05
2=0.428075,-5.20687,0.0120176
0=-0.00363108,0.00747763,1.841e-05
1=0.0433123,0.990151,-2.88069e-05
2=0.431464,-5.20642,0.0119399
0=-0.00363108,0.00747763,1.841e-05
1=0.0353412,0.990461,-2.8981e-05
2=0.434852,-5.20597,0.0118622
0=-0.00363108,0.00747763,1.841e-05
1=0.0273677,0.990707,-2.9152e-05
2=0.43824,-5.20552,0.0117845
0=-0.00363108,0.00747763,1.841e-05
1=0.0193921,0.99089,-2.932e-05
2=0.441628,-5.20507,0.0117068
0=-0.00363108,0.00747763,1.841e-05
1=0.0114151,0.991009,-2.94848e-05
2=0.445016,-5.20461,0.0116292
0=-0.00363108,0.00747763,1.841e-05
1=0.00343705,0.991064,-2.96466e-05
2=0.448404,-5.20415,0.0115514
0=-0.00363108,0.00747763,1.841e-05
1=-0.00454144,0.991056,-2.98052e-05
2=0.451792,-5.20369,0.0114737
0=-0.00363108,0.00747763,1.841e-05
1=-0.0125199,0.990983,-2.99607e-05
2=0.455179,-5.20323,0.011396
0=-0.00363108,0.00747763,1.841e-05
1=-0.0204977,0.990847,-3.0113e-05
2=0.458566,-5.20276,0.0113183
0=-0.00363108,0.00747762,1.841e-05
1=-0.0284745,0.990648,-3.02622e-05
2=0.461953,-5.20229,0.0112406
0=-0.00363108,0.00747762,1.841e-05
1=-0.0364496,0.990384,-3.04083e-05
2=0.46534,-5.20182,0.0111629
0=-0.00363108,0.00747762,1.841e-05
1=-0.0444226,0.990057,-3.05512e-05
2=0.468726,-5.20135,0.0110851
0=-0.00363108,0.00747762,1.841e-05
1=-0.052393,0.989666,-3.06909e-05
2=0.472112,-5.20088,0.0110074
0=-0.00363108,0.00747762,1.841e-05
1=-0.0603602,0.989211,-3.08274e-05
2=0.475499,-5.2004,0.0109297
0=-0.00363108,0.00747762,1.841e-05
1=-0.0683237,0.988692,-3.09607e-05
2=0.478884,-5.19992,0.0108519
0=-0.00363108,0.00747762,1.841e-05
1=-0.0762831,0.98811,-3.10908e-05
2=0.48227,-5.19944,0.0107742
0=-0.00363108,0.00747762,1.841e-05
1=-0.0842377,0.987465,-3.12177e-05
2=0.485656,-5.19896,0.0106964
0=-0.00363108,0.00747762,1.841e-05
1=-0.0921871,0.986755,-3.13414e-05
2=0.489041,-5.19847,0.0106186
0=-0.00363108,0.00747762,1.84101e-05
1=-0.100131,0.985983,-3.14618e-05
2=0.492426,-5.19798,0.0105409
0=-0.00363108,0.00747761,1.84101e-05
1=-0.108068,0.985146,-3.1579e-05
2=0.495811,-5.19749,0.0104631
0=-0.00363108,0.00747761,1.84101e-05
1=-0.115999,0.984246,-3.1693e-05
2=0.499195,-5.197,0.0103853
0=-0.00363108,0.00747761,1.84101e-05
1=-0.123922,0.983283,-3.18037e-05
2=0.50258,-5.19651,0.0103076
0=-0.00363108,0.00747761,1.84101e-05
1=-0.131838,0.982257,-3.19111e-05
2=0.505964,-5.19601,0.0102298
0=-0.00363108,0.00747761,1.84101e-05
1=-0.139745,0.981167,-3.20153e-05
2=0.509348,-5.19551,0.010152
0=-0.00363108,0.00747761,1.84101e-05
1=-0.147643,0.980014,-3.21162e-05
2=0.512732,-5.19501,0.0100742
0=-0.00363108,0.00747761,1.84101e-05
1=-0.155532,0.978798,-3.22138e-05
2=0.516115,-5.1945,0.00999641
0=-0.00363108,0.00747761,1.84101e-05
1=-0.163411,0.977519,-3.23082e-05
2=0.519498,-5.194,0.00991861
0=-0.00363108,0.00747761,1.84101e-05
1=-0.17128,0.976177,-3.23992e-05
2=0.522882,-5.19349,0.00984081
0=-0.00363108,0.00747761,1.84101e-05
1=-0.179138,0.974772,-3.24869e-05
2=0.526264,-5.19298,0.009763
0=-0.00363108,0.0074776,1.84101e-05
1=-0.186984,0.973304,-3.25713e-05
2=0.529647,-5.19247,0.00968519
0=-0.00363108,0.0074776,1.84101e-05
1=-0.194819,0.971773,-3.26525e-05
2=0.533029,-5.19195,0.00960737
0=-0.00363108,0.0074776,1.84101e-05
1=-0.202641,0.97018,-3.27303e-05
2=0.536412,-5.19143,0.00952955
0=-0.00363108,0.0074776,1.84101e-05
1=-0.21045,0.968524,-3.28047e-05
2=0.539793,-5.19092,0.00945173
0=-0.00363108,0.0074776,1.84101e-05
1=-0.218246,0.966806,-3.28759e-05
2=0.543175,-5.19039,0.0093739
0=-0.00363108,0.0074776,1.84101e-05
1=-0.226028,0.965026,-3.29437e-05
2=0.546557,-5.18987,0.00929607
0=-0.00363108,0.0074776,1.84101e-05
1=-0.233795,0.963183,-3.30082e-05
2=0.549938,-5.18934,0.00921823
0=-0.00363108,0.0074776,1.84101e-05
1=-0.241548,0.961279,-3.30693e-05
2=0.553319,-5.18882,0.00914039
0=-0.00363108,0.0074776,1.84101e-05
1=-0.249285,0.959312,-3.31271e-05
2=0.556699,-5.18828,0.00906254
0=-0.00363108,0.0074776,1.84101e-05
1=-0.257006,0.957284,-3.31815e-05
2=0.56008,-5.18775,0.0089847
0=-0.00363108,0.00747759,1.84101e-05
1=-0.264711,0.955194,-3.32326e-05
2=0.56346,-5.18722,0.00890684
0=-0.00363108,0.00747759,1.84101e-05
1=-0.272398,0.953042,-3.32803e-05
2=0.56684,-5.18668,0.00882899
0=-0.00363108,0.00747759,1.84101e-05
1=-0.280069,0.950829,-3.33247e-05
2=0.57022,-5.18614,0.00875113
0=-0.00363108,0.00747759,1.84101e-05
1=-0.287721,0.948555,-3.33657e-05
2=0.573599,-5.1856,0.00867326
0=-0.00363108,0.00747759,1.84101e-05
1=-0.295355,0.94622,-3.34034e-05
2=0.576979,-5.18505,0.0085954
0=-0.00363108,0.00747759,1.84101e-05
1=-0.30297,0.943824,-3.34376e-05
2=0.580358,-5.18451,0.00851752
0=-0.00363108,0.00747759,1.84101e-05
